"序號","統一編號","公司名稱","公司所在地","代表人","資本額","核准變更日期"
"2382","27667787","海華科技股份有限公司","新北市新店區寶中路94號8樓","程建中","1504418080","1100527"
"2383","27667941","旺雍科技股份有限公司","桃園市蘆竹區長興里長榮路169號","李建修","5000000","1100505"
"2384","27669265","喜愛精品燈飾股份有限公司","臺中市西屯區福吉街101號","陳昭成","1000000","1100528"
"2385","27674112","美盛溫泉事業股份有限公司","臺中市西屯區何明里大有一街20號1樓","賴忠明","28000000","1100519"
"2386","27675652","寶樺建設股份有限公司","臺中市西區昇平里中興街38號","賴國弘","30000000","1100505"
"2387","27676250","冠京投資股份有限公司","新竹市北區仁德里北大路295號3樓","賴麗華","2000000","1100504"
"2388","27676879","益祥金屬工業有限公司","彰化縣二林鎮華崙里二溪路7段376巷60號","陳維祥","30000000","1100525"
"2389","27679159","億歐德科技有限公司","新北市新莊區新泰路227號13樓之1","吳多賢","5000000","1100518"
"2390","27680727","山珍生物科技股份有限公司","屏東縣長治鄉德和村農園路35號","山汰科技股份有限公司","869318930","1100503"
"2391","27682703","昌泓工程顧問有限公司","高雄市楠梓區秀群路515號1樓","張文科","1000000","1100525"
"2392","27684435","榮航工程有限公司","高雄市前鎮區二聖二路179巷40號","張文彬","1000000","1100507"
"2393","27688426","川島屋有限公司","高雄市梓官區赤崁東路315巷25號","林姿伶","1000000","1100517"
"2394","27688586","華郁興業有限公司","高雄市楠梓區常德路317巷9弄31號1樓","郁文華","5000000","1100513"
"2395","27690751","元鉦機械工程有限公司","高雄市仁武區大春街400號1樓","陳盈利","5000000","1100507"
"2396","27698016","元慶開發食品有限公司","高雄市仁武區仁勇路5號1樓","陳文龍","5000000","1100511"
"2397","27698894","中央公寓大廈管理維護股份有限公司","高雄市三民區博愛一路391號10樓","蔡家臻","10000000","1100513"
"2398","27699970","雋升企業有限公司","高雄市仁武區八德東路368巷91號","林正駿","1000000","1100514"
"2399","27707471","鈦得金屬有限公司","高雄市鼓山區裕國街158號2樓","凃進法","1000000","1100504"
"2400","27709359","利信管理顧問股份有限公司","高雄市苓雅區林森二路21號11樓之3","孫金樹","4000000","1100510"
"2401","27713570","康森事業有限公司","臺北市信義區忠孝東路5段524巷3弄22號1樓","唐愷洋","5000000","1100531"
"2402","27715872","長春藤資產管理顧問股份有限公司","臺北市中山區敬業一路180號4樓","羅森洲","47500000","1100513"
"2403","27717512","嘉威生活股份有限公司","臺北市大安區信義路4段296號14樓之4","陳碩璨","723004150","1100524"
"2404","27717858","樂泰實業股份有限公司","臺北市大安區忠孝東路4段221號9樓","李佳臻","5000000","1100507"
"2405","27718033","鎧家租賃股份有限公司","臺北市中正區重慶南路1段57號5樓之11","李昇光","10000000","1100512"
"2406","27719048","永豐餘工業用紙股份有限公司","臺北市中正區重慶南路2段51號12樓","邱創華","4101500000","1100506"
"2407","27721157","泰銓國際運通有限公司","臺北市松山區民權東路3段190號2樓","蔡瑩","7500000","1100503"
"2408","27722705","北岸環保股份有限公司","臺北市大安區敦化南路2段95號15樓","陳升忇","1660000000","1100518"
"2409","27725457","華艦科技股份有限公司","臺北市大安區忠孝東路4段130號11樓","陳鵬先","72500000","1100517"
"2410","27728428","統創建設開發股份有限公司","臺北市大安區市民大道3段198號10樓","黃莉娟","1149310000","1100527"
"2411","27729088","兆太國際物流股份有限公司","臺北市中山區遼寧街112號2樓之3","張世杰","15000000","1100526"
"2412","27729138","整體設計事業有限公司","新北市新店區中興路3段247巷5弄1號3樓","林博偉","2000000","1100514"
"2413","27732372","金瑞格企業股份有限公司","新北市新店區中正路700巷62號3樓","李文瑞","5000000","1100507"
"2414","27732788","映費迪國際有限公司","臺北市中正區延平南路67號3樓","蔡政宏","12500000","1100504"
"2415","27734738","和鑫生技開發股份有限公司","臺北市內湖區新湖一路91號7樓","林恒隆","792500000","1100517"
"2416","27736742","七茂光電有限公司","基隆市七堵區長安街247巷2號","林青文","6000000","1100510"
"2417","27737799","東昇國際管理顧問股份有限公司","臺北市中正區忠孝東路1段55號4樓","奥田実","5000000","1100524"
"2418","27738896","振芳投資股份有限公司","臺北市大同區延平北路2段215號4樓之2","吳良材","30000000","1100512"
"2419","27744150","鴻昭實業有限公司","臺北市內湖區文德路66巷14弄14號地下樓","黃美玲","10000000","1100514"
"2420","27744530","華陽優質企業有限公司","臺北市信義區永吉路187巷14號2樓","朱發展","1000000","1100528"
"2421","27745003","普莉斯股份有限公司","臺北市中山區松江路132巷17號1樓","張景芳","5000000","1100514"
"2422","27745518","立承系統科技股份有限公司","新北市板橋區四川路2段16巷5號7樓","李承鴻","313736230","1100507"
"2423","27747059","御來光生技股份有限公司","臺北市中山區堤頂大道2段500號7樓之6","王建凱","10000000","1100513"
"2424","27749401","元坊興業有限公司","臺中市太平區新平路二段151號1樓","簡妤芹","2686365","1100512"
"2425","27750482","摩力諾國際有限公司","新北市新莊區中正路514巷105弄66號","李玲芳","5000000","1100503"
"2426","27750862","南科生物科技股份有限公司","臺北市中正區忠孝西路1段41號12樓之11","趙玉廷","5000000","1100525"
"2427","27755108","渥克時尚有限公司","臺北市大安區敦化南路1段236巷19號2樓","張景凱 ","2500000","1100526"
"2428","27755212","廣宇建設實業股份有限公司","臺北市中正區銅山街6號地下","李毓超","562735000","1100524"
"2429","27755389","衛博康網通股份有限公司","新北市汐止區福德二路67之1號4樓","韓克俊","2000000","1100526"
"2430","27757154","谷韋科技有限公司","新竹縣竹北市東平里六家八街265號1樓","莊君楨","15000000","1100524"
"2431","27759391","旭亨股份有限公司","臺北市大安區和平東路1段10號7樓","","5000000","1100505"
"2432","27759815","城市屋所顧問有限公司","新北市淡水區新春街148之17號3樓","林顯洋","2000000","1100507"
"2433","27762516","智典國際股份有限公司","臺北市中山區南京東路3段68號15樓","羅英華","1580000000","1100510"
"2434","27763753","聯合再生能源股份有限公司","新竹市力行三路7號","洪傳獻","26650178320","1100525"
"2435","27767961","台灣大車隊股份有限公司","臺北市中山區長安東路2段162號2樓","林村田","564428150","1100528"
"2436","27768552","吉安投資股份有限公司","臺北市信義區基隆路1段159號13樓","簡育貞","1000000","1100521"
"2437","27769047","佳禾投資股份有限公司","臺北市信義區基隆路1段159號13樓","林宗潭","1000000","1100521"
"2438","27769784","星力股份有限公司","臺北市內湖區民權東路6段268號4樓","李明昆","40000000","1100528"
"2439","27771775","元鼎布業開發有限公司","臺北市大同區長安西路303之4號1樓","周漢君","1000000","1100526"
"2440","27772351","盾威有限公司","臺中市大雅區中清路四段903巷11弄28號","黃金閔","8000000","1100520"
"2441","27775744","冠承不動產仲介經紀有限公司","桃園市桃園區慈文路885號","李秀發","3000000","1100513"
"2442","27777601","紅蓋企業有限公司","臺北市南港區研究院路2段70巷17弄2號3樓","邱忠遠","3000000","1100506"
"2443","27781892","尚銓人力仲介有限公司","臺中市南區德祥街67巷11號","黃琳茜","9000000","1100511"
"2444","27782941","律昇科技有限公司","桃園市楊梅區瑞溪里梅獅路二段232巷54號4樓","陳基政","1000000","1100503"
"2445","27785362","愛爾康迪有限公司","臺中市大里區東興里國光路二段554號1樓","黃文輝","2000000","1100512"
"2446","27786144","通友汽車材料股份有限公司","新北市瑞芳區魚坑路136號","周嶔錫","10000000","1100519"
"2447","27787951","頂碩科技事業股份有限公司","嘉義縣民雄鄉西安村民溪路25-3號1樓","郭明泉","30000000","1100514"
"2448","27787967","南雄營造有限公司","臺南市永康區五王里五福街185號6樓之3","李靜芳","6600000","1100531"
"2449","27788585","帝聞投資股份有限公司","新北市新店區寶高路5號5樓","傅佩玲","10000000","1100518"
"2450","27790294","誠美材料科技股份有限公司","臺南市善化區南關里木柵港西路13號","何昭陽","6657285000","1100518"
"2451","27790581","佳楓建設股份有限公司","臺南市東區裕忠路138號","林晣傑","38000000","1100503"
"2452","27793736","月那科技有限公司","臺北市北投區雙全街1號3樓","劉立山","1500000","1100517"
"2453","27796190","華星通運有限公司","臺中市梧棲區四維中路246號1樓","劉瑞珠","30000000","1100512"
"2454","27796375","德駿興業有限公司","臺南市南區南都里中華南路二段315巷6弄1之10號1樓","甘素環","1000000","1100503"
"2455","27797487","單車人傳媒有限公司","臺中市南屯區文心里向心路109號16樓之2","張壽生","6000000","1100511"
"2456","27797590","慶通汽車股份有限公司","臺南市永康區中正南路315號","洪舜彥","67459470","1100510"
"2457","27802073","欣冠食品股份有限公司","高雄市大寮區大寮里利民街30號1、2樓","陳文安","63000000","1100520"
"2458","27802783","銘華針織有限公司","彰化縣田尾鄉睦宜村斗中路60號1樓","林秋滿","1000000","1100511"
"2459","27804213","精鋁金屬工業有限公司","臺南市安平區府前四街166巷10號2樓","白恩惠","23000000","1100510"
"2460","27804446","通翊工程有限公司","苗栗縣頭份市山下里青年街13巷3號","涂畇慈","10000000","1100519"
"2461","27805178","富龍科技股份有限公司","臺中市西屯區福聯里東海街62號1樓","陳世宗","36000000","1100512"
"2462","27808626","德陽投資股份有限公司","新北市林口區文化三路1段402巷2號6樓","姚連地","51000000","1100503"
"2463","27816338","筌晟有限公司","臺中市霧峰區南勢里北岸路54巷20號","季勳華","8000000","1100514"
"2464","27817337","大任不動產經紀有限公司","臺中市沙鹿區中山路386之2號1樓","張智壹","500000","1100517"
"2465","27819497","麗堡股份有限公司","南投縣竹山鎮延平里籐湖巷1弄3、5號","林炘讚","7800000","1100505"
"2466","27820190","寶家建設股份有限公司","臺北市大安區敦化南路2段59號19樓","葉山綺","20000000","1100527"
"2467","27820558","貝克莉有限公司","臺中市南屯區大業路275號1樓","劉瑞興","3900000","1100506"
"2468","27822520","伍賀家具股份有限公司","彰化縣彰化市南興里天祥路300巷29弄14號","李泓霖","3300000","1100518"
"2469","27823160","宜軍企業有限公司","新北市土城區中央路3段124號8樓","","500000","1100510"
"2470","27824442","邑達企業有限公司","臺南市永康區六合里中華二路340巷15弄2號1樓","韓美英","1000000","1100510"
"2471","27831400","億昌冷凍空調工程有限公司","桃園市中壢區明德里惠州街61號","劉美惠","10000000","1100503"
"2472","27832098","白樹甜心有限公司","南投縣草屯鎮芬草路三段439巷16號","唐肇隆","3000000","1100525"
"2473","27833456","友愛小客車租賃有限公司","臺中市豐原區翁社里豐年路260號1樓","黃俊諺","5000000","1100524"
"2474","27834933","俠城出版股份有限公司","臺北市中山區松江路8號8樓之10","張齊軒","1000000","1100512"
"2475","27843118","朋程資訊有限公司","新北市三重區重新路4段63號19樓之1","蕭娜滿","3000000","1100517"
"2476","27848057","立瀅貿易有限公司","新北市中和區中和路901號5樓之3","陳雅萍","500000","1100526"
"2477","27850285","台南網路資訊有限公司","臺南市東區東智街43號1樓","蕭景益","3000000","1100504"
"2478","27852018","建原電子有限公司","新北市板橋區林園街7號3樓","黃建源","5000000","1100528"
"2479","27853425","汎銓科技股份有限公司","新竹市埔頂路27號1樓","柳紀綸","412771750","1100519"
"2480","27856014","鉅奇知識管理顧問有限公司","臺南市永康區東橋里大橋一街326號","郭良梅","500000","1100504"
"2481","27857506","詠合興機械股份有限公司","臺中市大雅區上楓里德勝路17巷1號1樓","王彥仁","5200000","1100506"
"2482","27858511","元碩工業有限公司","新北市八里區博物館路19號(1樓)","劉金玉","11000000","1100519"
"2483","27858694","至廣發工業有限公司","臺中市西屯區漢口路二段19之3號1樓","何國忠","10000000","1100517"
"2484","27865920","玉山生物科技股份有限公司","臺中市西屯區福安七街18號3樓","余珽婷","6000000","1100505"
"2485","27866527","獨奏心靈傢俬股份有限公司","臺中市西屯區龍潭里龍吉街308號","鄭雅惠","5000000","1100512"
"2486","27867899","順詠實業有限公司","臺中市沙鹿區鹿寮里光榮街79號5樓之11","林奇洲","1000000","1100514"
"2487","27868588","匯聚科技股份有限公司","新北市三重區重新路5段646之1號","留素雲","80000000","1100510"
"2488","27869030","詳展股份有限公司","新竹縣竹北市十興里勝利三街88號2樓","楊豐碩","16000000","1100519"
"2489","27873246","振晶店實業有限公司","新北市新莊區幸福路127號","游博宇","10000000","1100528"
"2490","27887001","斯麥特管理顧問有限公司","臺中市潭子區中山路一段7巷29號1樓","陳威宏","1000000","1100524"
"2491","27890688","歡迎物聯網多媒體科技股份有限公司","臺南市永康區建國里復興路33巷62號1樓","方迎","50000000","1100517"
"2492","27891498","麗池時尚館股份有限公司","臺中市西屯區何德里漢口路二段151號13樓之8","吳國姿","21380000","1100525"
"2493","27892406","劍湖山休閒產業管理顧問股份有限公司","雲林縣古坑鄉永光村大湖口67號","尤義賢","1000000","1100517"
"2494","27892742","華優企業股份有限公司","新北市新莊區中正路556之15號","寇沛家","12000000","1100512"
"2495","27896901","宏洋環控科技股份有限公司","新北市三重區三和路4段103號7樓","林建宏","6000000","1100518"
"2496","27899506","家喬不動產有限公司","新竹市光復路1段395號","李若涵","1000000","1100505"
"2497","27902431","大河美術設計工程有限公司","新北市三芝區中興街2段107號","黃天健","1000000","1100506"
"2498","27902544","威璐國際股份有限公司","新北市五股區五工三路115號（6樓）","林素卿","6000000","1100524"
"2499","27902729","立德盛有限公司","新北市淡水區鄧公路31巷23號4樓","洪伯毅","4000000","1100506"
"2500","27906767","上朋有限公司","高雄市阿蓮區港後里港後76之56號","黃崇豪","6000000","1100521"
"2501","27915344","律寬實業有限公司","新北市土城區中央路1段365巷30弄6號","周昆賢","6000000","1100506"
"2502","27916049","亞昕科技股份有限公司","桃園市蘆竹區內溪路51號","張恩傑","293422180","1100520"
"2503","27917080","聯茂工程顧問有限公司","桃園市八德區仁愛街22號13樓","呂建台","2000000","1100517"
"2504","27919685","瀧鈦工程企業有限公司","高雄市鳳山區埤頂街160巷32弄10號1樓","臨時管理人:劉秀月","10000000","1100513"
"2505","27920493","谷綠林股份有限公司","桃園市蘆竹區坑口里後壁厝88之18號","陳世文","113000000","1100503"
"2506","27921057","志鑫機械有限公司","臺中市烏日區溪南路二段270巷83弄28號","廖志銘","3000000","1100526"
"2507","27922788","英屬維京群島商安卓有限公司","臺北市大安區忠孝東路4段290號10樓","徐慶達","2000000","1100527"
"2508","27924131","新加坡商梭意科技股份有限公司","新竹縣竹北市高鐵七路65號5樓之6","費棠慕","1000000","1100521"
"2509","27928328","大聯大投資控股股份有限公司","臺北市南港區經貿二路189號22樓","黃偉祥","18790568330","1100512"
"2510","27930041","馬來西亞商白蘭氏三得利股份有限公司","臺北市松山區敦化北路88號13樓","曾淑婷","5000000","1100510"
"2511","27939773","香港上海滙豐證券股份有限公司","臺北市信義區基隆路1段333號13樓","黃偉基","1000000000","1100512"
"2512","27945229","榮工實業股份有限公司","高雄市楠梓區高楠公路1200號","劉志和","858000000","1100513"
"2513","27946368","台灣摩根士丹利證券股份有限公司","臺北市大安區敦化南路2段207號14樓及22樓","柯之琛","3608210000","1100521"
"2514","27952121","銓達創新股份有限公司","臺北市松山區民權東路3段170號12樓","徐文明","10000000","1100518"
"2515","27952699","盟欣工程企業有限公司","苗栗縣竹南鎮照南里崇明街13巷16號","林財傑","2000000","1100531"
"2516","27956421","盈動綜效行銷有限公司","臺北市內湖區南京東路6段461號8樓之2","郭育適","500000","1100503"
"2517","27960662","大堅開發股份有限公司","新北市三重區大仁街4號1樓","林威良","5000000","1100512"
"2518","27964920","鴻展永續開發有限公司","臺北市信義區莊敬路391巷1弄6號1樓","王繼國","1000000","1100512"
"2519","27967102","恒怡投資股份有限公司","臺北市中山區長安東路2段63號3樓","劉恒昌","350000000","1100525"
"2520","27968587","得速科技有限公司","新北市新店區復興路45號10樓","沈大為","5000000","1100514"
"2521","27968828","北戰工程有限公司","新北市蘆洲區長安街115號5樓","朱永裕","8000000","1100510"
"2522","27974032","佳光股份有限公司","臺北市中山區中山北路2段44號5樓","張嘉祥","92097120","1100531"
"2523","27977066","全球數位媒體股份有限公司","臺北市內湖區瑞光路399號3樓","羅寧寧(LUO,NING NING LINDA)","360651480","1100521"
"2524","27979542","混合無限智慧科技有限公司","新北市永和區國光路37號(1樓)","林威志","1000000","1100504"
"2525","27981961","貝迦實業有限公司","臺北市中山區林森北路109號4樓","張舒綺","1000000","1100520"
"2526","27982271","泰業資產管理股份有限公司","屏東縣屏東市機場北路498號1樓","王明洲","27000000","1100513"
"2527","27982666","豪羚投資股份有限公司","新竹縣竹北市斗崙里縣政八街68巷3號9樓","林芳玲","5000000","1100524"
"2528","27983172","尚詠工程有限公司","臺北市南港區三重路67巷1號3樓","張志聖","3000000","1100513"
"2529","27983551","力智電子股份有限公司","新竹縣竹北市台元一街5號9樓之1","許先越","706893890","1100511"
"2530","27984806","新誠資產管理股份有限公司","臺南市永康區中華路144-1號地下1樓","戴頌雯","3446006400","1100504"
"2531","27985039","慈情股份有限公司","臺北市中山區南京東路2段123號11樓","孫若男","18731700","1100513"
"2532","27985164","采真股份有限公司","臺北市大同區重慶北路3段113巷4號1樓","李明協","3000000","1100504"
"2533","27985426","濟真股份有限公司","臺北市中山區南京東路2段123號11樓","孫若男","909812380","1100514"
"2534","27989703","華峰建設開發股份有限公司","臺北市中山區中山北路2段129號4樓之1","陳漢良","100000000","1100524"
"2535","27990005","連世欣國際網路股份有限公司","臺北市中正區重慶南路1段99號11樓之3","陳廷勇","15000000","1100506"
"2536","27991969","全又國際有限公司","臺北市松山區南京東路4段164號7樓之7","吳明全","1000000","1100511"
"2537","27994543","勁元國際股份有限公司","臺北市中正區新生南路1段6號地下2層之22","林坤桐","5000000","1100504"
"2538","27995803","嘉元投資股份有限公司","臺北市大安區仁愛路4段25號6樓","孫愛群","100000000","1100517"
"2539","27996752","泰羅斯股份有限公司","臺北市中正區衡陽路51號10樓之18","王宗貽","7000000","1100520"
"2540","27997078","金匯國際物流股份有限公司","臺北市南港區南港路3段50巷19號5樓","曾兆廣","8000000","1100511"
"2541","27997942","鴻寬國際開發股份有限公司","臺北市松山區復興北路181號13樓","劉蕙萱","200000000","1100511"
"2542","27998533","弘博科技股份有限公司","新北市新莊區五權一路5號8樓之4","黃國風","8000000","1100521"
"2543","27999929","瑞相科技股份有限公司","臺北市內湖區新湖一路128巷15號6樓","黃銘達","135000000","1100525"
"2544","28000277","傑富國際企業有限公司","臺北市內湖區新湖二路162號5樓之1","林淑美","1000000","1100511"
"2545","28000564","積善投資股份有限公司","臺北市中山區林森北路356號4樓","周邦偉","10000000","1100517"
"2546","28001923","歐信工程股份有限公司","臺北市信義區松德路171號21樓","葉集孝","103009750","1100527"
"2547","28002922","全家生技有限公司","新北市蘆洲區永樂街100號6樓","曹美真","1000000","1100504"
"2548","28004597","法媚兒企業有限公司","臺北市松山區民生東路4段75巷5弄3號1樓","林沛俐","5000000","1100513"
"2549","28008496","太明開發股份有限公司","臺北市信義區基隆路1段176號14樓","張蓓麗","70000000","1100520"
"2550","28009734","遠懋投資股份有限公司","臺北市松山區復興北路99號4樓之2","陳智亮","3200000","1100527"
"2551","28009805","慕澤設計室內裝修股份有限公司","臺北市信義區信義路5段150巷401弄56號1樓","顏闕彩雲","10000000","1100527"
"2552","28009827","豐得機電股份有限公司","新北市五股區成泰路3段419號(2樓)","簡鵬龍","6000000","1100503"
"2553","28010107","大華聯合保險經紀人有限公司","新北市中和區成功路133號25樓之2","杜劍虹","10500000","1100506"
"2554","28013147","常富凱健康生技有限公司","臺中市大里區瑞城一街171號","吳思嬅","5000000","1100511"
"2555","28013505","佑慶建設股份有限公司","臺中市東區東英五街62號3樓","陳國楨","5000000","1100511"
"2556","28014645","傣慶開發工程有限公司","臺中市北屯區松安里修齊街13巷16號1樓","陳家財","3000000","1100528"
"2557","28019212","基勝工程有限公司","雲林縣麥寮鄉施厝村興安路8巷1號1樓","許文明","3000000","1100510"
"2558","28024974","大夏遊覽車有限公司","高雄市左營區立大路４４２巷８號","夏岳台","50000000","1100527"
"2559","28026733","九瀧企業股份有限公司","新北市樹林區中正路642巷4號(2樓)","單國強","48000000","1100511"
"2560","28027590","慧鑫貿易有限公司","臺中市西屯區河南路一段170號2樓之2","湯國鑫","11500000","1100525"
"2561","28028991","凱森建設股份有限公司","桃園市龜山區大同里明成街202號","陳裕發","430000000","1100512"
"2562","28032593","杰鼎科技有限公司","臺北市萬華區峨嵋街96號","呂維傑","500000","1100524"
"2563","28033853","金尚彩印企業有限公司","臺北市萬華區西園路2段281巷28之1號","李安富","1000000","1100514"
"2564","28034044","連弘環境科技有限公司","高雄市前鎮區民權二路6號15樓之2","黃宏裕","60000000","1100507"
"2565","28041586","啟暘熱傳科技有限公司","新北市土城區自由街19號（1、3樓）","王雅萱","2000000","1100528"
"2566","28041973","磐宇國際有限公司","臺中市南屯區龍富十五路53號","陳素芬","10000000","1100511"
"2567","28042375","泓龍國際有限公司","新北市土城區金城路3段37號3樓","郭政澔","2000000","1100521"
"2568","28043542","鋐遠企業有限公司","臺中市太平區宜佳里宜昌路111巷10號1樓","林語鈞","500000","1100526"
"2569","28043753","創翔科技實業有限公司","新北市樹林區俊英街248巷40、42號","林建富","10000000","1100514"
"2570","28044063","永承人力管理有限公司","臺中市后里區聯合里水門路31號1樓","温明爲","500000","1100519"
"2571","28046055","郁懋印刷機械貿易股份有限公司","臺中市西屯區福上巷181弄6號","林洋弘","20000000","1100520"
"2572","28049200","吉連工業有限公司","新北市三重區仁愛街255巷5號","連晉啓","6000000","1100520"
"2573","28051818","艾特先進半導體股份有限公司","新北市新莊區新北大道3段7號7樓之5","游仁宏","150000000","1100511"
"2574","28051839","亞細亞氣密隔音窗股份有限公司","臺中市潭子區新田里豐興路二段338巷20號","林清炎","215522000","1100506"
"2575","28055722","陽明生醫股份有限公司","新北市中和區橋和路116號4樓","林秀霞","98000000","1100521"
"2576","28057159","旭晟齒輪有限公司","高雄市鳳山區鎮北里北辰街91號","謝美珠","10000000","1100521"
"2577","28057475","菱崴科技有限公司","苗栗縣竹南鎮山佳里山佳140號","葉胡秀凰","2500000","1100507"
"2578","28057670","邰欣建設股份有限公司","臺南市永康區甲頂里小北路18號1樓","邱俊彬","100000000","1100505"
"2579","28061604","博圓實業有限公司","新北市新店區安康路2段16巷35弄2號3樓","莊睿云","5000000","1100510"
"2580","28063146","聖子國際有限公司","高雄市鳳山區新樂街181巷2弄8號","呂培筠","500000","1100528"
"2581","28063309","住程科技系統有限公司","新竹市東區埔頂里公道五路2段120號10樓之1","周雷琪（RUTGERS LEI-GEE CHOW）","500000","1100511"
"2582","28063574","雅嵐股份有限公司","臺中市南屯區楓樹里楓樂巷1-25之1號","馬雅芬","35000000","1100513"
"2583","28064291","萬向精密股份有限公司","臺中市南區樹德里復興北路431巷18號","王若楓","138000000","1100520"
"2584","28064601","東羽工程有限公司","桃園市桃園區明德街22之3號3樓","鄭秀畇","1000000","1100513"
"2585","28064644","鈺邦科技股份有限公司","苗栗縣竹南鎮科東三路2、6號4樓","鄭敦仁","889535140","1100528"
"2586","28066592","琦霖科技有限公司","臺南市永康區鹽和街167號壹樓","黃宗勳","32000000","1100520"
"2587","28069232","彩晶藝術印刷有限公司","新北市新莊區復興路1段222之1號","陳聖介","500000","1100519"
"2588","28069900","敦泰電子股份有限公司","新竹市篤行一路6號4樓及6樓","胡正大","2162769420","1100520"
"2589","28070667","天星科技有限公司","基隆市安樂區壯觀里樂利二街62巷50號4樓","曹浚龍","1000000","1100503"
"2590","28076803","國興冷凍肉品股份有限公司","彰化縣大城鄉西港村中央路1之8號","林桂添","100000000","1100528"
"2591","28077508","鋐展車業股份有限公司","彰化縣秀水鄉曾厝村1鄰番花路428號","陳朝勝","21700000","1100504"
"2592","28078788","鋒霖科技股份有限公司","桃園市桃園區大林路22號","黃穎緒","237700850","1100505"
"2593","28080145","天淼有限公司","新北市新店區行政街17巷5號2樓","褚玉嬋","2000000","1100514"
"2594","28081989","晶焱科技股份有限公司","新北市中和區中正路736號6樓之6","李俊昌","911193310","1100524"
"2595","28082214","展安食品有限公司","新北市土城區中華路2段243號","鄭啓源","27000000","1100526"
"2596","28082586","百福林企業股份有限公司","桃園市楊梅區永平路549巷2號","白雁浦","455150000","1100525"
"2597","28082684","廣碩電通企業有限公司","高雄市鹽埕區七賢三路269號16樓之43","陳佳麟","5000000","1100521"
"2598","28085319","遠雄物流事業股份有限公司","桃園市大園區航翔路101號","葉鈞耀","561000000","1100517"
"2599","28087626","奕思股份有限公司","臺北市中山區復興北路156號12樓","邱冠燿","600000","1100505"
"2600","28090002","晶騰金屬實業有限公司","高雄市大寮區大有一街9號2樓","戴秀美","5000000","1100520"
"2601","28090122","豪康投資有限公司","高雄市大寮區正氣路61巷17號","謝昆達","60000000","1100528"
"2602","28093649","富慶開發股份有限公司","臺中市東區東信里東英五街62號2樓","陳進財","35000000","1100513"
"2603","28095891","勁和室內空間設計有限公司","桃園市桃園區龍鳳三街65巷36號","張文旗","760000","1100511"
"2604","28097265","際元股份有限公司","新北市土城區永平街6號(3樓)","張玉峯","3000000","1100507"
"2605","28097379","台灣帕卡可博股份有限公司","新竹縣湖口鄉工業五路8號","松前岳","100000000","1100526"
"2606","28097510","臣昇科技股份有限公司","桃園市桃園區玉山里玉山街275巷41弄51號","張筱蘭","24000000","1100511"
"2607","28097624","高陞鷹架股份有限公司","宜蘭縣五結鄉五結中路3段82號1樓","蘇芷萍","15000000","1100507"
"2608","28098406","易昇鋼鐵股份有限公司","臺南市永康區正南一街200號","顏慶利","1500000000","1100507"
"2609","28099480","永康生命醫學股份有限公司","苗栗縣頭份市文化里5鄰文化街21號","胡坴培","1000000","1100511"
"2610","28100711","凱虹建設股份有限公司","桃園市楊梅區楊明里新農街531號","吳進永","10000000","1100518"
"2611","28102540","全酉股份有限公司","臺中市潭子區潭秀里中山路二段607號","李詹儀","28000000","1100531"
"2612","28102746","建迪國際開發股份有限公司","新北市新莊區福營路227巷7號","羅建宏","82000000","1100513"
"2613","28106736","敦煌藝術工程有限公司","臺南市安平區育平里永華路二段833號8樓","洪明祥","5000000","1100521"
"2614","28107854","建大科技股份有限公司","桃園市蘆竹區南崁路2段66號3樓之2","廖豐瑩","50000000","1100524"
"2615","28110041","群豐科技股份有限公司","苗栗縣竹南鎮科北一路21號1樓","徐常基","883900150","1100518"
"2616","28110675","富而安有限公司","新北市永和區永和路2段330號(1樓)","王友昇","500000","1100517"
"2617","28111745","高登車體塗裝藝術股份有限公司","高雄市仁武區高楠公路96之10號","黃崇誠","27000000","1100518"
"2618","28112890","芯鼎科技股份有限公司","新竹縣寶山鄉創新一路19-1號","詹文雄","737875000","1100512"
"2619","28113027","盟創科技股份有限公司","新竹縣創新二路6號","楊國榮","3168000000","1100514"
"2620","28114356","米雷迪恩飛秒光源股份有限公司","新竹市東區力行ㄧ路1號之1B3-2","李建中","50000000","1100505"
"2621","28114671","世大光電有限公司","宜蘭縣宜蘭市宜科南路15號3樓之2","蔡春美","58529400","1100512"
"2622","28114807","雅億創新股份有限公司","臺北市內湖區洲子街181號2樓","李雋睿","16000","1100527"
"2623","28114813","艾格生科技股份有限公司","苗栗縣竹南鎮科北一路21號3樓","陳立惇","230000000","1100525"
"2624","28123448","精呈科技股份有限公司","臺中市神岡區豐工三路10號","張瑞成","176410000","1100527"
"2625","28124283","曾永長國際農業有限公司","臺南市南化區小崙里小崙57之6號1樓","曾凱俊","5000000","1100513"
"2626","28125826","科信塑膠有限公司","新北市新莊區新樹路262之24號(4樓)","李奇仁","3000000","1100512"
"2627","28129674","榮光之星加油站有限公司","南投縣埔里鎮榮光路1-11號二樓","郭陳秀治","2500000","1100517"
"2628","28138836","大慶廢鐵五金有限公司","桃園市觀音區草漯里榮工北路13之1號","謝松益","10000000","1100519"
"2629","28142135","東峰國際建設有限公司","高雄市大寮區鳳林一路184巷27之41號","陳榮雲","10000000","1100506"
"2630","28149171","坂研貿易股份有限公司","臺北市內湖區行愛路78巷28號4樓之2","顏郁文","15000000","1100531"
"2631","28151324","久原建材五金實業有限公司","苗栗縣後龍鎮新民里11鄰中正路109號1樓","鍾項琳","15000000","1100507"
