"序號","統一編號","公司名稱","公司所在地","代表人","資本額","核准變更日期"
"59","04388145","台灣康寧顯示玻璃股份有限公司","臺中市西屯區科園路1號","張錚(John Zhang)","60879102185","1100521"
"60","04404855","昭元化成股份有限公司","臺北市中山區松江路129號9樓","林子元","88000000","1100518"
"61","04408228","台灣平井國際有限公司","臺北市萬華區雙園街15號2樓","黃念屏","5000000","1100525"
"62","04454741","黎都興業股份有限公司","臺北市大安區仁愛路4段230號9樓之5","邱文潛","50000000","1100512"
"63","04465521","德淵企業股份有限公司","新北市五股區五權六路9號3樓","蕭向志","906000220","1100517"
"64","04476652","晉一化工股份有限公司","臺北市大同區南京西路22號11樓","賴宏榮","320000000","1100531"
"65","04481959","一東玩具業有限公司","臺北市大同區長安西路202號","黃麗芬","3500000","1100531"
"66","04487905","耀瀚股份有限公司","新北市新莊區福營路145巷31號","方水順","42500000","1100505"
"67","04488756","德昌皮革製品股份有限公司","桃園市大園區內海里民生路121號","白志祥","223010000","1100507"
"68","04491653","勇誼股份有限公司","臺北市中山區民生東路2段161號5樓","陳致遠","1158300000","1100505"
"69","04524681","東興市場企業股份有限公司","臺北市萬華區萬大路486巷48號","張慶祥","2400000","1100514"
"70","04544624","光華礦務股份有限公司","花蓮縣花蓮市民運里民權路158號4樓","劉抗生","29000000","1100520"
"71","04573802","河榮機械工廠有限公司","臺北市中正區中華路2段75巷1弄2號1樓","陳宏斌","5000000","1100527"
"72","04575288","宏達香料股份有限公司","臺北市士林區福華路158號9樓","顏學文","12000000","1100518"
"73","04586428","騰達汽車貨運有限公司","新北市中和區中正路817號9樓之10","邱建焱","6000000","1100511"
"74","04591463","大台北企業股份有限公司","臺北市萬華區成都路88號","張世宗","17000000","1100527"
"75","04615438","宜旺通運股份有限公司","臺中市梧棲區大庄里光華西街77號1樓","楊堃業","29000000","1100531"
"76","04622563","台灣富士通股份有限公司","臺北市中正區中華路1段39號19樓","遊口証","153640000","1100519"
"77","04630542","天泉金銀珠寶有限公司","臺北市中正區南昌路2段128之1號","王凱民","1000000","1100506"
